brand,dispensary,name,type,description,thc,cbd,size,price,image
Kin Slips,['High Park Cannabis Co'],Cloud Buster Sublingual Strips | 10mg THC,Edible Oils,"A BLEND FOR CREATIVITY & FOCUS
Cloud Buster™ is crafted with uplifting cannabinoids and terpenes. Excellent for a morning boost or conquering that 3pm slump. Hints of tarragon and citrus.

Suggested Use
When cannabis is absorbed sublingually, or under the tongue, it simply works better. Traditional edibles, like brownies, gummies, and cookies, are often distorted by stomach acids and then broken down by the liver.

Sublingual cannabis products, on the other hand, are pulled straight into the bloodstream through the membranes in the mouth. Peel and discard the paper backing, place Slip under tongue and let dissolve. The onset only takes 10 minutes and the effects feel more like smoking than ingesting a traditional edible.

Available Dosages
☆Single | 10mg THC per Slip | 1 Slip per pack
★Standard | 10mg THC per Slip | 10 Slips per pack 
☆Microdose | 5mg THC per Slip | 20 Slips per pack

Ingredients
Pullulan, Cannabis Oil, Tapioca Starch, Glycerin, Gum Arabic, Sunflower Lecithin, Quillaja Extract, Natural Flavors, Natural Colors (Beet, Annatto), Natural Terpenes, Monk Fruit Extract, Water",10% ,0.1% ,10 g,$37.89,https://images.weedmaps.com/products/000/199/802/avatar/1618420337-CB10.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Cann,['High Park Cannabis Co'],Blood Orange Cardamom Social Tonic (4pk),Drinks,"Juicy and bright, Blood Orange Cardamom is a zesty treat that doesn’t disappoint. Designed for a good time, Blood Orange Cardamom is a tasty delight that will leave you feeling great. Whether you’re sipping one or downing several, these Canns will have you feeling light and happy - no hangover ever. 

2mg THC, 4mg CBD per Cann (4 per pack)",2mg ,,4 g,$19.85,https://images.weedmaps.com/products/000/385/199/avatar/1654099191-cann_bloodorangecardamom_core_1200x1200.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Slow Ride Bakery,"['Matchbox Cannabis - Rogers Rd', 'Matchbox Cannabis - Steeles Ave']",Peanut Butter Cookie,Cookies,"It’s the cookie you know and love, just with a cannabis twist. Slowride Bakery’s Peanut Butter Cookie is a soft-baked buttery delight that will activate your nostalgia. These cookies are small-batch and handmade to ensure you’re getting the best possible product. Slowride Bakery sources premium ingredients, never using preservatives. Each 20 g cookie contains 10 mg of THC, with one cookie per package. These cookies can be frozen for up to three months to enjoy later. Slowride Bakery is locally owned and operated in Ottawa, Ontario.",10mg ,,Each,$7.25,https://images.weedmaps.com/products/000/286/080/avatar/1628271795-srb_peanut_butter_and_cookie.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Twd.,"['Your Local Cannabis - Scarborough, Kennedy & Lawrence', 'YBH Green']",Sativa,Flower,"Sativa dried flower is a strain with very high THC potency potential and very little CBD. All Twd. products are Canadian-grown, and each plant is carefully cultivated. Where you find Twd., you’ll find value. It’s that simple. This Sativa dried flower is available in 3.5 g, 7 g, or 15 g dried flower sizes.",,,Each,$37.99,https://images.weedmaps.com/products/000/205/130/avatar/1607628084-Screen_Shot_2020-12-10_at_2.20.39_PM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,['Matchbox Cannabis - Rogers Rd'],Wana Sour Gummies Passion Fruit Sativa,Gummies,"Awaken your senses with sweet, aromatic citrus flavours paired with tart notes, all thanks to Wana Passion Fruit Sativa gummies. These gummies are handmade with pectin, never gelatin, for a vegan and gluten-free edible. Like all of our Wana gummies, Passion Fruit Sativa is made with a sativa terpene-enhanced distillate which contains a unique blend of over 30 terpenes. These tropical-inspired gummies contain 5 mg of THC per gummie, with two gummies per package.",5mg ,,Each,$8.50,https://images.weedmaps.com/products/000/366/969/avatar/1649430392-wanasour-passionfruit-branded-1600x1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
PAX,"[""Offside Cannabis - Lundy's Lane"", 'Offside Cannabis - Clifton']",PAX Era Pro - Jade,Pull,"Elevate your experience when you choose the all-new Era Pro. More predictability, control, and potency than ever before. This all-new cannabis oil vaporizer features a discreet and attractive design that provides an ideal in-hand feel including state of the art technology and ultramodern specs.
• UL-certified for a safer battery experience.
• PAXSmart™ pods remember your favorite temperature and dose settings, so you can enjoy each strain and flavor exactly how you like it.
• PodID™ delivers instant access to pod safety reports.
• ExpertTemp™ sets your pod temperature to the extractor’s recommendation.",,,Each,$59.99,https://images.weedmaps.com/products/000/184/443/avatar/1590014044-Screen_Shot_2020-05-20_at_4.33.34_PM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Carmel Cannabis,"['Culture Rising - Milton', 'Matchbox Cannabis - Steeles Ave', 'Scarlet Fire Cannabis Co']",Animal Face,Flower,"Animal Face is an ultra-potent, flavourful sativa dominant hybrid created through crossing the Face Off OG clone and Animal Mints male.",20.7% ,10mg ,Each,$19.49,https://images.weedmaps.com/products/000/244/729/avatar/1616003517-Animal_Face.jpeg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Edison Cannabis Co,"['Sessions Cannabis - Rymal', 'BONNEFIRE - Queen St. W.']",Limelight Pre-Roll,Pre Roll,"Each pre-roll is filled with evenly-milled Limelight flower and outfitted with a support-providing, cooling filter. Each pre-roll is 0.5 grams and is hand-inspected before it is packaged. Limelight is a distinct sativa-dominant strain with a lush bud structure and moss green highlights. Boasting tangy, sour, floral notes, Limelight’s dominant terpenes include caryophyllene, terpinolene and humulene.",23.4% ,,Each,$15.75,https://images.weedmaps.com/products/000/204/421/avatar/1607534593-Screen_Shot_2020-12-09_at_12.22.42_PM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],Organic BC White Grape OG 3.5g - Organic BC White Grape OG 3.5g Dried Flower,Flower,,24.5% ,,Each,$49.50,https://images.weedmaps.com/pictures/listings/949/091/785/425807447_sds6b4onps5ychs0k2ys.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
,[],AK-47 Autoflower Seeds,Seeds,,,,Each,$52.00,https://images.weedmaps.com/pictures/listings/599/441/354/425106226_9a028afe-8a73-4209-8f78-55e8e5bdbce2.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
